Timestamp,Category,Phrase,Emojis
2025-05-31 14:30:26,Reasons to Break Up,Lost interest,😴 📱 💔
2025-05-31 14:45:29,Things You've Secretly Judged People For,Big Life Changes,🤰 💍 ✈️ 🏡
2025-05-31 14:47:50,Pet Shaming Reasons,Ate my homework,🐶 📚 😩
2025-05-31 14:48:30,Forgotten Social Media Platforms,Vine was life,🍇 😂 🎬 💀
2025-05-31 14:50:38,Old Tech Struggles,Floppy disk,💾 🐌 😫
2025-05-31 15:21:33,Late Night Snack Cravings,Sweet tooth,🍬🦷🤤😋,yes,1,90.0,110.0
2025-05-31 15:22:16,Wedding Guest Complaints,Bad dog,🐶 😠 🥂 🐾,yes,2,90.0,190.0
2025-05-31 15:23:29,Food Coma Symptoms,Food baby,🤰 🍔 😴,yes,3,80.0,255.0
2025-05-31 15:24:00,Embarrassing Medical Questions,Morning breath,☕ 🌬️ 😬,no,2,0.0,245.0
2025-05-31 15:29:21,Craigslist Missed Connections,Second helpings,🍽️😋🤤🙌,no,2,0.0,235.0
2025-05-31 15:29:55,Forbidden Love Stories,Forbidden fruit,🍎 🚫 💔,yes,0,90.0,325.0
2025-05-31 15:34:29,Boomer Complaints,Kids these days,👴 🧒 🤯 ⏳ 📺,yes,2,80.0,395.0
2025-05-31 15:35:08,Toxic Relationship Red Flags,Love bombing,💖💣💥💔,yes,3,90.0,470.0
2025-05-31 15:36:24,Drunk Text Regrets,Oops I texted,🤦‍♀️📱😬,no,3,0.0,455.0
2025-05-31 15:37:28,Autocorrect Fails,Take a break,☕ 😴 🚶‍♀️,no,3,0.0,440.0
2025-05-31 15:37:47,Festival Drug Stories,Lost weekend,😵‍💫⛺️😴❓,yes,0,100.0,590.0
2025-05-31 15:38:22,Things That Are Overpriced,Bottled water,💧💰🤣🚿,yes,3,90.0,665.0
2025-05-31 16:08:56,Things That Were Cool in High School,Starter jacket,🧥🏈✨🔥😎,no,3,0.0,650.0
2025-05-31 16:09:32,Things Overheard in a Bar Bathroom,Rough night,🤕 🌙 🚽,yes,3,90.0,725.0
2025-05-31 16:10:11,Things You Google at 3AM,Why am I,🤔 🦉 😵‍💫,yes,0,90.0,815.0
2025-05-31 16:10:48,Selfie Gone Wrong,Photo Bomb,📸💥😂🙈,yes,1,90.0,900.0
2025-05-31 16:11:27,One Hit Wonders,Here Comes Trouble,😈 💥 🎈 😱,yes,3,90.0,975.0
2025-05-31 16:12:04,Movie Quotes You Use Daily,Show me the money,🎬 💰 😲,yes,3,90.0,1050.0
2025-05-31 16:12:59,Embarrassing Medical Questions,"Doctor, it hurts",🩺 😫 🩹 😂,yes,3,80.0,1115.0
2025-05-31 16:13:39,Social Media Addictions,Doom scrolling,😩📱😵‍💫📉,yes,2,90.0,1195.0
